TIME,time,开盘价,最高价,最低价,收盘价,volume
2018.09.18,2:00,14.118,14.132,14.059,14.081,1201
2018.09.18,3:00,14.082,14.125,14.082,14.119,1042
2018.09.18,4:00,14.12,14.127,14.084,14.099,2202
2018.09.18,5:00,14.099,14.109,14.079,14.09,1273
2018.09.18,6:00,14.09,14.128,14.09,14.118,1844
2018.09.18,7:00,14.118,14.131,14.105,14.121,771
2018.09.18,8:00,14.121,14.13,14.108,14.129,1181
2018.09.18,9:00,14.13,14.156,14.122,14.127,2384
2018.09.18,10:00,14.127,14.127,14.055,14.103,3263
2018.09.18,11:00,14.102,14.167,14.102,14.152,2209
2018.09.18,12:00,14.152,14.191,14.149,14.172,2015
2018.09.18,13:00,14.172,14.212,14.163,14.206,1534
2018.09.18,14:00,14.205,14.216,14.176,14.197,2215
2018.09.18,15:00,14.197,14.203,14.131,14.182,2323
2018.09.18,16:00,14.18,14.214,14.145,14.146,2962
2018.09.18,17:00,14.145,14.169,14.082,14.163,2900
2018.09.18,18:00,14.164,14.183,14.127,14.169,1602
2018.09.18,19:00,14.167,14.183,14.132,14.132,2162
2018.09.18,20:00,14.133,14.148,14.112,14.143,1623
2018.09.18,21:00,14.142,14.152,14.123,14.127,812
2018.09.18,22:00,14.127,14.139,14.115,14.137,611
2018.09.18,23:00,14.137,14.139,14.127,14.129,398
2018.09.19,1:00,14.109,14.157,14.104,14.154,404
2018.09.19,2:00,14.153,14.158,14.149,14.153,248
2018.09.19,3:00,14.153,14.16,14.145,14.145,694
2018.09.19,4:00,14.146,14.148,14.128,14.133,907
2018.09.19,5:00,14.134,14.157,14.133,14.14,909
2018.09.19,6:00,14.138,14.173,14.138,14.172,1204
2018.09.19,7:00,14.171,14.198,14.166,14.182,836
2018.09.19,8:00,14.182,14.215,14.181,14.204,1318
2018.09.19,9:00,14.205,14.209,14.168,14.174,1761
2018.09.19,10:00,14.174,14.22,14.17,14.187,2128
2018.09.19,11:00,14.185,14.211,14.163,14.167,2390
2018.09.19,12:00,14.167,14.169,14.138,14.153,1572
2018.09.19,13:00,14.153,14.181,14.143,14.163,1243
2018.09.19,14:00,14.162,14.185,14.143,14.179,2238
2018.09.19,15:00,14.181,14.239,14.151,14.223,2814
2018.09.19,16:00,14.223,14.229,14.146,14.203,2581
2018.09.19,17:00,14.203,14.259,14.168,14.252,2957
2018.09.19,18:00,14.252,14.321,14.239,14.249,2949
2018.09.19,19:00,14.248,14.264,14.239,14.249,1522
2018.09.19,20:00,14.25,14.251,14.21,14.22,1559
2018.09.19,21:00,14.22,14.24,14.219,14.234,603
2018.09.19,22:00,14.234,14.237,14.215,14.221,537
2018.09.19,23:00,14.221,14.229,14.216,14.224,384
2018.09.20,1:00,14.201,14.233,14.201,14.22,272
2018.09.20,2:00,14.22,14.23,14.219,14.229,256
2018.09.20,3:00,14.229,14.232,14.215,14.225,600
2018.09.20,4:00,14.225,14.308,14.225,14.308,1757
2018.09.20,5:00,14.307,14.332,14.299,14.303,1400
2018.09.20,6:00,14.302,14.315,14.287,14.287,700
2018.09.20,7:00,14.286,14.318,14.286,14.306,532
2018.09.20,8:00,14.304,14.313,14.289,14.308,836
2018.09.20,9:00,14.308,14.314,14.26,14.262,1844
2018.09.20,10:00,14.261,14.272,14.187,14.187,2805
2018.09.20,11:00,14.182,14.211,14.162,14.172,2978
2018.09.20,12:00,14.164,14.227,14.164,14.216,2268
2018.09.20,13:00,14.214,14.231,14.201,14.221,2673
2018.09.20,14:00,14.22,14.267,14.189,14.26,3265
2018.09.20,15:00,14.26,14.299,14.233,14.25,3973
2018.09.20,16:00,14.249,14.288,14.212,14.245,3548
2018.09.20,17:00,14.243,14.3,14.215,14.23,4049
2018.09.20,18:00,14.226,14.262,14.197,14.206,3507
2018.09.20,19:00,14.207,14.257,14.203,14.253,1633
2018.09.20,20:00,14.253,14.272,14.235,14.252,1742
2018.09.20,21:00,14.252,14.265,14.233,14.265,834
2018.09.20,22:00,14.267,14.294,14.266,14.289,983
2018.09.20,23:00,14.288,14.307,14.283,14.298,418
2018.09.21,1:00,14.271,14.301,14.271,14.292,285
2018.09.21,2:00,14.292,14.314,14.292,14.311,362
2018.09.21,3:00,14.31,14.358,14.302,14.353,957
2018.09.21,4:00,14.353,14.368,14.327,14.362,1705
2018.09.21,5:00,14.361,14.365,14.34,14.347,1035
2018.09.21,6:00,14.348,14.38,14.347,14.375,1210
2018.09.21,7:00,14.375,14.38,14.35,14.362,689
2018.09.21,8:00,14.362,14.4,14.355,14.363,1266
2018.09.21,9:00,14.363,14.376,14.335,14.343,2185
2018.09.21,10:00,14.342,14.412,14.337,14.377,3868
2018.09.21,11:00,14.373,14.401,14.354,14.388,2463
2018.09.21,12:00,14.387,14.392,14.343,14.351,1735
2018.09.21,13:00,14.348,14.371,14.321,14.33,1987
2018.09.21,14:00,14.331,14.365,14.317,14.34,1683
2018.09.21,15:00,14.339,14.389,14.232,14.233,3572
2018.09.21,16:00,14.234,14.305,14.135,14.28,5353
2018.09.21,17:00,14.28,14.378,14.28,14.334,3973
2018.09.21,18:00,14.333,14.339,14.282,14.306,2956
2018.09.21,19:00,14.305,14.336,14.297,14.308,2038
2018.09.21,20:00,14.307,14.335,14.255,14.278,1779
2018.09.21,21:00,14.277,14.281,14.236,14.248,946
2018.09.21,22:00,14.248,14.279,14.243,14.278,775
2018.09.21,23:00,14.279,14.281,14.269,14.274,290
