TIME,time,开盘价,最高价,最低价,收盘价,volume
2018.08.13,19:00,1196.1,1196.11,1190.82,1193.28,7948
2018.08.13,20:00,1193.27,1194.39,1191.58,1193.35,7106
2018.08.13,21:00,1193.35,1193.7,1191.99,1193.34,4603
2018.08.13,22:00,1193.32,1194.7,1193.06,1193.35,3752
2018.08.13,23:00,1193.34,1194.05,1192.96,1193.4,2151
2018.08.14,1:00,1193.91,1194.75,1193.6,1194.45,1287
2018.08.14,2:00,1194.45,1194.75,1192.55,1192.72,1518
2018.08.14,3:00,1192.72,1193.9,1192.21,1193.21,2806
2018.08.14,4:00,1193.21,1195.67,1193.09,1194.35,5477
2018.08.14,5:00,1194.34,1196.1,1193.77,1195.6,4841
2018.08.14,6:00,1195.6,1195.89,1194.86,1194.98,2579
2018.08.14,7:00,1195,1195.56,1194.87,1195.07,1559
2018.08.14,8:00,1195.07,1195.33,1193.22,1194.77,4348
2018.08.14,9:00,1194.76,1196.01,1194.53,1195.14,6772
2018.08.14,10:00,1195.14,1195.52,1193.83,1195.28,6964
2018.08.14,11:00,1195.27,1195.58,1193.85,1193.97,7285
2018.08.14,12:00,1193.93,1195.28,1193.92,1194.65,6602
2018.08.14,13:00,1194.65,1195.33,1194.23,1194.79,4053
2018.08.14,14:00,1194.78,1195.22,1194.21,1195.05,3904
2018.08.14,15:00,1195.05,1196.79,1194.68,1196.43,6288
2018.08.14,16:00,1196.44,1197.44,1195.33,1196.87,7870
2018.08.14,17:00,1196.86,1198.6,1196.32,1197.83,7618
2018.08.14,18:00,1197.84,1197.94,1195.98,1196.45,6700
2018.08.14,19:00,1196.48,1196.69,1193.2,1193.48,4556
2018.08.14,20:00,1193.48,1194.24,1191.9,1193.72,6828
2018.08.14,21:00,1193.72,1194.53,1193.37,1194.13,3540
2018.08.14,22:00,1194.13,1194.63,1193.64,1194.22,2109
2018.08.14,23:00,1194.22,1194.5,1193.7,1193.8,1073
2018.08.15,1:00,1193.95,1194.57,1193.65,1194.19,1396
2018.08.15,2:00,1194.21,1194.51,1193.15,1193.82,1638
2018.08.15,3:00,1193.82,1194.07,1190.89,1192.32,2923
2018.08.15,4:00,1192.32,1193.02,1191.21,1192.45,5223
2018.08.15,5:00,1192.45,1192.47,1189.18,1189.2,5177
2018.08.15,6:00,1189.19,1189.89,1187.83,1187.96,5889
2018.08.15,7:00,1187.97,1188.56,1187.15,1187.46,4009
2018.08.15,8:00,1187.47,1188.28,1186.36,1187.84,4592
2018.08.15,9:00,1187.84,1188.95,1186.65,1188.58,6831
2018.08.15,10:00,1188.58,1189.38,1187.02,1187.81,7624
2018.08.15,11:00,1187.81,1188.33,1186.11,1186.15,6771
2018.08.15,12:00,1186.15,1187.4,1184.85,1185.73,6891
2018.08.15,13:00,1185.72,1186.35,1183.76,1184.86,7158
2018.08.15,14:00,1184.79,1187.11,1184.12,1186.68,7362
2018.08.15,15:00,1186.67,1187.45,1184.94,1185.13,7827
2018.08.15,16:00,1185.15,1185.52,1180.01,1181.1,11531
2018.08.15,17:00,1181.1,1183.52,1178.4,1178.94,12231
2018.08.15,18:00,1178.95,1181.05,1175.9,1176.38,12021
2018.08.15,19:00,1176.39,1178.06,1175.54,1177.16,8359
2018.08.15,20:00,1177.17,1178.81,1174.78,1177.68,7313
2018.08.15,21:00,1177.68,1177.81,1176.69,1176.69,4025
2018.08.15,22:00,1176.71,1177.51,1173,1174.51,5490
2018.08.15,23:00,1174.48,1176.27,1173.95,1174.54,2695
2018.08.16,1:00,1175.05,1176.13,1174.97,1175.59,1735
2018.08.16,2:00,1175.6,1175.68,1173.24,1173.68,2418
2018.08.16,3:00,1173.68,1174.28,1160.07,1165.62,9668
2018.08.16,4:00,1165.62,1170.52,1163.6,1169.87,13276
2018.08.16,5:00,1169.92,1173.44,1169.31,1172.21,9380
2018.08.16,6:00,1172.21,1172.88,1170.64,1172.62,6364
2018.08.16,7:00,1172.61,1174.29,1171.45,1173.9,5274
2018.08.16,8:00,1173.9,1178.57,1173.6,1177.67,9108
2018.08.16,9:00,1177.62,1177.62,1174.34,1174.97,9977
2018.08.16,10:00,1174.96,1177.67,1173.85,1176.85,8649
2018.08.16,11:00,1176.85,1181.91,1176.57,1180.46,8935
2018.08.16,12:00,1180.46,1180.5,1178.81,1179.63,6687
2018.08.16,13:00,1179.61,1180.22,1178.29,1178.52,5304
2018.08.16,14:00,1178.52,1181.58,1178.28,1180.55,6347
2018.08.16,15:00,1180.55,1180.99,1175.03,1176.4,9053
2018.08.16,16:00,1176.39,1180.94,1174.7,1179.93,10453
2018.08.16,17:00,1179.93,1180.7,1177.68,1179.53,8493
2018.08.16,18:00,1179.52,1181.58,1178.78,1179.27,7231
2018.08.16,19:00,1179.27,1179.7,1176.59,1177.61,8642
2018.08.16,20:00,1177.6,1177.78,1174.63,1175.4,6876
2018.08.16,21:00,1175.4,1176.73,1174.98,1175.7,4056
2018.08.16,22:00,1175.7,1175.73,1173.43,1173.64,4043
2018.08.16,23:00,1173.63,1174.28,1173.32,1173.92,1779
2018.08.17,1:00,1173.48,1175.4,1173.37,1174.71,1855
2018.08.17,2:00,1174.7,1175.87,1174.64,1175.24,1748
2018.08.17,3:00,1175.24,1177.75,1171.81,1177.24,5945
2018.08.17,4:00,1177.24,1179.19,1176.33,1176.5,7082
2018.08.17,5:00,1176.5,1177.55,1175.88,1177.16,4238
2018.08.17,6:00,1177.16,1177.64,1175.88,1176.18,3070
2018.08.17,7:00,1176.16,1177.13,1176.07,1176.63,2315
2018.08.17,8:00,1176.62,1176.64,1174.37,1175.2,4064
2018.08.17,9:00,1175.17,1175.78,1173.36,1174.59,7676
2018.08.17,10:00,1174.58,1177.56,1173.53,1176.74,6997
2018.08.17,11:00,1176.74,1179.72,1176.47,1177.78,8017
2018.08.17,12:00,1177.77,1177.81,1175.97,1176.4,7750
2018.08.17,13:00,1176.39,1177.73,1174.95,1177.4,6882
2018.08.17,14:00,1177.41,1177.77,1176.11,1176.44,4998
2018.08.17,15:00,1176.45,1178.96,1175.34,1177.91,8961
2018.08.17,16:00,1177.91,1179.84,1177.91,1178.43,7776
2018.08.17,17:00,1178.44,1179.28,1177.31,1178.77,7860
2018.08.17,18:00,1178.78,1180.37,1177.86,1177.94,6930
2018.08.17,19:00,1177.94,1179.15,1177.02,1177.13,5231
2018.08.17,20:00,1177.11,1177.76,1176.35,1177.35,4465
